ticker,last,prev_close,chg,asof_utc
NBIS,240.63,226.61,0.06186842696570949,2026-09-24T15:49:11Z
META,766.0,744.1,0.02943172584722875,2026-09-24T15:49:11Z
AYI,311.27,306.06,0.017039130822355197,2026-09-24T15:49:11Z
OLLI,83.75,82.61,0.013739282506290751,2026-09-24T15:49:11Z
PWR,641.98,634.9,0.011151292774356891,2026-09-24T15:49:11Z
CLS,365.0,361.84,0.008733151929281258,2026-09-24T15:49:11Z
ESE,267.01,266.19,0.0030805338919490666,2026-09-24T15:49:11Z
DLR,181.93,181.45,0.0026178347286007764,2026-09-24T15:49:11Z
SKWD,54.93,54.84,0.0016411406334331247,2026-09-24T15:49:11Z
CIEN,356.39,355.91,0.001348686413388478,2026-09-24T15:49:11Z
BOOT,124.49,124.49,0.0,2026-09-24T15:49:11Z
GOOGL,337.79,337.83,-0.00011833771107583324,2026-09-24T15:49:11Z
MOD,192.96,193.11,-0.0007767277510760673,2026-09-24T15:49:11Z
TSM,446.03,446.57,-0.0012092360348101572,2026-09-24T15:49:11Z
LNTH,99.82,99.97,-0.0014504778502584248,2026-09-24T15:49:11Z
SHAK,58.38,58.47,-0.0015392534754390397,2026-09-24T15:49:11Z
KVYO,16.74,16.78,-0.0023838446895403376,2026-09-24T15:49:11Z
SO,83.27,83.47,-0.0023961252511293107,2026-09-24T15:49:11Z
ALAB,359.54,360.46,-0.0025519929513079243,2026-09-24T15:49:11Z
AAON,82.11,82.36,-0.003035454081438904,2026-09-24T15:49:11Z
HUBB,462.18,463.7,-0.00326723012411978,2026-09-24T15:49:11Z
ESNT,65.22,65.45,-0.0034377155784899305,2026-09-24T15:49:11Z
AMD,612.13,614.61,-0.0040332599453611895,2026-09-24T15:49:11Z
VIRT,52.78,53.01,-0.004338795501204529,2026-09-24T15:49:11Z
CRWV,86.43,86.9,-0.005362524853696038,2026-09-24T15:49:11Z
SPY,763.46,767.81,-0.005665432333219367,2026-09-24T15:49:11Z
CW,541.41,545.15,-0.006860590850291448,2026-09-24T15:49:11Z
VST,136.98,137.97,-0.007211677236965919,2026-09-24T15:49:11Z
WING,97.14,97.88,-0.007560256278447031,2026-09-24T15:49:11Z
AZZ,136.68,137.8,-0.00812779645263062,2026-09-24T15:49:11Z
XLU,39.42,39.75,-0.008176119822376204,2026-09-24T15:49:11Z
MDY,660.87,666.33,-0.008188033672887784,2026-09-24T15:49:11Z
PEG,66.75,67.31,-0.008319678783322959,2026-09-24T15:49:11Z
