sleeve,ticker,price,mcap,avg_dollar_vol_20d,flags
H1,MRVL,263.36,236.7B,4943M,MCAP>MAX
H1,ALAB,365.94,63.5B,1100M,OK
H1,CRDO,191.67,36.0B,1537M,OK
H1,MPWR,1373.34,67.5B,819M,OK
H1,ONTO,282.45,17.3B,241M,OK
H1,CAMT,150.43,7.0B,49M,DOLLARVOL<MIN
H1,ACLS,113.93,3.5B,37M,DOLLARVOL<MIN
H1,KLAC,186.02,243.0B,1638M,MCAP>MAX
H1,SNDK,1887.31,276.3B,17365M,MCAP>MAX
H1,STX,899.85,204.7B,3065M,MCAP>MAX
H1,WDC,459.46,165.7B,2777M,MCAP>MAX
H1,CIEN,370.12,52.5B,932M,OK
H1,COHR,308.73,60.5B,1775M,OK
H1,LITE,948.68,85.1B,4002M,OK
H1,AAOI,106.45,9.0B,682M,OK
H1,FN,397.79,14.3B,322M,OK
H1,VRT,253.38,97.6B,1351M,OK
H1,MOD,196.30,10.4B,223M,OK
H1,NVT,162.59,26.3B,394M,OK
H1,POWL,191.27,7.0B,99M,OK
H1,AAON,78.11,6.4B,80M,OK
H1,CLS,350.58,44.2B,659M,OK
H1,SMCI,40.63,26.7B,1433M,OK
H1,DLR,185.70,68.9B,385M,OK
H1,APLD,28.38,8.1B,410M,OK
H1,IREN,48.13,19.0B,1692M,OK
H1,CORZ,18.58,6.0B,193M,OK
H1,NBIS,234.48,63.8B,3215M,OK
H1,WULF,17.45,8.7B,444M,OK
H2,ESE,263.05,6.8B,61M,OK
H2,FSS,117.04,7.1B,47M,OK
H2,GFF,97.51,4.4B,31M,OK
H2,ALG,167.50,2.0B,30M,OK
H2,TRN,28.00,2.2B,16M,OK
H2,GBX,43.09,1.3B,16M,OK
H2,BOOT,128.88,3.9B,92M,OK
H2,SHAK,58.97,2.4B,74M,OK
H2,WING,105.62,2.9B,132M,OK
H2,OLLI,82.28,4.9B,143M,OK
H2,PLNT,42.54,3.2B,94M,OK
H2,ACAD,26.65,4.6B,42M,OK
H2,ACHC,29.41,2.7B,39M,OK
H2,LNTH,100.36,6.6B,99M,OK
H2,OMCL,33.20,1.5B,20M,OK
H2,PRCT,18.88,1.1B,23M,OK
H2,APPF,205.79,7.3B,68M,OK
H2,BRZE,25.53,2.9B,79M,OK
H2,KVYO,15.85,4.7B,112M,OK
H2,ALRM,52.76,2.6B,23M,OK
H2,PCOR,50.44,7.7B,138M,OK
H2,PIPR,72.94,5.2B,45M,OK
H2,VIRT,55.37,4.9B,57M,OK
H2,ESNT,66.81,6.0B,48M,OK
H2,RLI,58.53,5.4B,35M,OK
H2,SKWD,55.65,2.5B,21M,OK
H3,CCJ,94.67,41.2B,284M,OK
H3,LEU,158.39,3.2B,129M,OK
H3,UEC,10.26,5.1B,98M,OK
H3,UUUU,12.08,3.2B,89M,OK
H3,DNN,2.93,2.7B,77M,OK
H3,NXE,9.86,6.6B,41M,OK
H3,URG,1.22,0.5B,8M,OK
H3,EU,1.23,0.2B,8M,MCAP<MIN
H3,BWXT,145.76,13.4B,171M,OK
H3,CW,554.99,20.5B,233M,OK
H3,MIR,16.41,4.0B,58M,OK
H3,OKLO,41.22,7.7B,436M,OK
H3,SMR,8.92,3.7B,356M,OK
H3,NNE,17.34,0.9B,32M,OK
H3,FLR,54.43,7.3B,120M,OK
H3,LTBR,6.87,0.2B,6M,MCAP<MIN
H3,CEG,265.82,94.2B,768M,OK
H3,VST,142.26,47.7B,603M,OK
H3,TLN,301.75,14.5B,218M,OK
H3,PEG,69.50,34.6B,224M,OK
H3,ETR,101.76,48.6B,284M,OK
H3,D,62.92,55.3B,302M,OK
H3,SO,85.46,98.3B,525M,OK
H3,PNW,93.82,11.4B,91M,OK
H3,AEP,120.55,65.6B,443M,OK
H3,NRG,103.49,21.8B,291M,OK
H3,GEV,951.53,253.5B,2087M,OK
H3,PWR,645.69,97.1B,545M,OK
H3,MYRG,287.73,4.5B,80M,OK
H3,POWL,191.27,7.0B,99M,OK
H3,HUBB,457.56,24.2B,208M,OK
H3,PRIM,76.18,4.1B,92M,OK
H3,MTZ,225.21,18.1B,356M,OK
H3,AZZ,135.54,4.1B,31M,OK
H3,IESC,320.04,12.8B,90M,OK
H3,AGX,377.86,5.3B,181M,OK
