sleeve ticker   price   mcap avg_dollar_vol_20d         flags
    H1   ALAB  360.51  62.5B              1204M            OK
    H1   CRDO  195.97  36.8B              1645M            OK
    H1   MPWR 1335.55  65.6B               831M            OK
    H1   ONTO  279.45  17.1B               237M            OK
    H1   CIEN  358.54  50.8B               942M            OK
    H1   COHR  290.41  56.9B              1820M            OK
    H1   LITE  929.04  83.3B              4036M            OK
    H1   AAOI  101.03   8.6B               690M            OK
    H1     FN  398.44  14.3B               318M            OK
    H1    VRT  245.38  94.5B              1367M            OK
    H1    MOD  196.85  10.5B               225M            OK
    H1    NVT  162.85  26.4B               397M            OK
    H1   POWL  191.62   7.0B                99M            OK
    H1   AAON   84.27   6.9B                88M            OK
    H1    CLS  373.58  47.1B               713M            OK
    H1   SMCI   41.51  27.3B              1463M            OK
    H1    DLR  181.04  67.2B               387M            OK
    H1   APLD   27.06   7.7B               416M            OK
    H1   IREN   46.15  18.2B              1720M            OK
    H1   CORZ   18.12   5.8B               197M            OK
    H1   NBIS  243.48  66.2B              3435M            OK
    H1   WULF   16.29   8.1B               460M            OK
    H2    ESE  268.53   7.0B                63M            OK
    H2    FSS  112.86   6.9B                47M            OK
    H2    GFF   96.46   4.4B                31M            OK
    H2    ALG  158.97   1.9B                32M            OK
    H2    TRN   27.84   2.2B                16M            OK
    H2    GBX   42.70   1.3B                18M            OK
    H2   BOOT  126.11   3.8B                88M            OK
    H2   SHAK   57.38   2.3B                79M            OK
    H2   WING   97.84   2.7B               139M            OK
    H2   OLLI   84.44   5.0B               154M DOLLARVOL>MAX
    H2   PLNT   40.73   3.1B                99M            OK
    H2   ACAD   22.18   3.8B                48M            OK
    H2   ACHC   27.80   2.6B                42M            OK
    H2   LNTH   99.72   6.5B               100M            OK
    H2   OMCL   33.03   1.5B                20M            OK
    H2   PRCT   17.50   1.0B                24M            OK
    H2   APPF  204.43   7.2B                68M            OK
    H2   BRZE   24.67   2.8B                78M            OK
    H2   KVYO   16.11   4.8B               120M            OK
    H2   ALRM   53.44   2.6B                25M            OK
    H2   PCOR   49.53   7.5B               143M            OK
    H2   PIPR   71.03   5.0B                47M            OK
    H2   VIRT   52.64   4.6B                58M            OK
    H2   ESNT   64.24   5.8B                50M            OK
    H2    RLI   56.18   5.2B                36M            OK
    H2   SKWD   54.88   2.4B                22M            OK
    H3    CCJ   88.14  38.4B               282M            OK
    H3    LEU  147.27   3.0B               128M            OK
    H3    UEC    9.47   4.7B                96M            OK
    H3   UUUU   11.31   3.0B                87M            OK
    H3    DNN    2.63   2.4B                73M            OK
    H3    NXE    9.27   6.2B                41M            OK
    H3    URG    1.14   0.5B                 8M            OK
    H3   BWXT  138.67  12.7B               165M            OK
    H3     CW  544.30  20.1B               231M            OK
    H3    MIR   15.71   3.8B                60M            OK
    H3   OKLO   38.27   7.1B               400M            OK
    H3    SMR    8.48   3.5B               343M            OK
    H3    NNE   17.02   0.9B                33M            OK
    H3    FLR   50.65   6.8B               124M            OK
    H3    CEG  261.62  92.7B               780M            OK
    H3    VST  137.90  46.3B               625M            OK
    H3    TLN  300.01  14.4B               228M            OK
    H3    PEG   66.56  33.2B               238M            OK
    H3    ETR   98.19  46.9B               293M            OK
    H3      D   60.40  53.1B               310M            OK
    H3     SO   82.92  95.4B               537M            OK
    H3    PNW   91.09  11.0B                96M            OK
    H3    AEP  117.57  64.0B               468M            OK
    H3    NRG   97.84  20.6B               294M            OK
    H3    GEV  955.50 254.5B              2091M            OK
    H3    PWR  643.36  96.7B               544M            OK
    H3   MYRG  295.18   4.6B                83M            OK
    H3   POWL  191.62   7.0B                99M            OK
    H3   HUBB  465.87  24.6B               218M            OK
    H3   PRIM   72.30   3.9B                92M            OK
    H3    MTZ  211.80  17.0B               345M            OK
    H3    AZZ  138.02   4.1B                33M            OK
    H3   IESC  320.50  12.8B                88M            OK
    H3    AGX  361.20   5.1B               182M            OK

82 names checked, 1 flagged.
