sleeve,ticker,price,mcap,avg_dollar_vol_20d,flags
H1,ALAB,358.86,62.3B,1168M,OK
H1,CRDO,193.51,36.4B,1605M,OK
H1,MPWR,1352.31,66.5B,804M,OK
H1,ONTO,283.55,17.3B,243M,OK
H1,CIEN,356.87,50.6B,936M,OK
H1,COHR,300.10,58.8B,1823M,OK
H1,LITE,935.84,83.9B,4053M,OK
H1,AAOI,101.02,8.6B,685M,OK
H1,FN,401.48,14.4B,324M,OK
H1,VRT,249.34,96.0B,1363M,OK
H1,MOD,192.93,10.2B,224M,OK
H1,NVT,163.28,26.4B,396M,OK
H1,POWL,192.96,7.0B,99M,OK
H1,AAON,82.53,6.8B,85M,OK
H1,CLS,364.52,46.0B,677M,OK
H1,SMCI,41.33,27.2B,1446M,OK
H1,DLR,181.95,67.5B,389M,OK
H1,APLD,27.42,7.8B,414M,OK
H1,IREN,47.60,18.8B,1718M,OK
H1,CORZ,18.09,5.8B,195M,OK
H1,NBIS,227.05,61.7B,3240M,OK
H1,WULF,16.35,8.2B,451M,OK
H2,ESE,266.09,6.9B,62M,OK
H2,FSS,113.70,6.9B,47M,OK
H2,GFF,96.90,4.4B,31M,OK
H2,ALG,165.11,2.0B,31M,OK
H2,TRN,27.96,2.2B,16M,OK
H2,GBX,43.14,1.3B,16M,OK
H2,BOOT,125.42,3.8B,91M,OK
H2,SHAK,58.69,2.4B,76M,OK
H2,WING,98.64,2.7B,137M,OK
H2,OLLI,82.26,4.9B,148M,OK
H2,PLNT,41.26,3.1B,96M,OK
H2,ACAD,25.32,4.4B,42M,OK
H2,ACHC,28.60,2.7B,41M,OK
H2,LNTH,99.97,6.5B,99M,OK
H2,OMCL,33.06,1.5B,20M,OK
H2,PRCT,18.02,1.0B,24M,OK
H2,APPF,210.32,7.4B,69M,OK
H2,BRZE,25.67,2.9B,79M,OK
H2,KVYO,16.86,5.0B,115M,OK
H2,ALRM,53.36,2.6B,24M,OK
H2,PCOR,51.16,7.8B,139M,OK
H2,PIPR,72.82,5.1B,46M,OK
H2,VIRT,52.95,4.7B,58M,OK
H2,ESNT,65.51,5.9B,48M,OK
H2,RLI,57.05,5.2B,36M,OK
H2,SKWD,54.78,2.4B,22M,OK
H3,CCJ,91.04,39.7B,285M,OK
H3,LEU,152.85,3.1B,130M,OK
H3,UEC,9.96,4.9B,96M,OK
H3,UUUU,11.66,3.1B,89M,OK
H3,DNN,2.83,2.6B,73M,OK
H3,NXE,9.68,6.5B,41M,OK
H3,URG,1.17,0.5B,8M,OK
H3,BWXT,141.57,13.0B,172M,OK
H3,CW,543.11,20.1B,232M,OK
H3,MIR,16.25,4.0B,59M,OK
H3,OKLO,38.92,7.2B,423M,OK
H3,SMR,8.73,3.6B,351M,OK
H3,NNE,17.19,0.9B,33M,OK
H3,FLR,53.16,7.1B,121M,OK
H3,CEG,263.67,93.4B,780M,OK
H3,VST,137.91,46.3B,620M,OK
H3,TLN,300.96,14.4B,227M,OK
H3,PEG,67.15,33.5B,230M,OK
H3,ETR,98.98,47.3B,288M,OK
H3,D,61.14,53.8B,303M,OK
H3,SO,83.31,95.8B,535M,OK
H3,PNW,91.70,11.1B,94M,OK
H3,AEP,118.55,64.5B,453M,OK
H3,NRG,100.32,21.1B,296M,OK
H3,GEV,949.53,252.9B,2099M,OK
H3,PWR,634.65,95.4B,551M,OK
H3,MYRG,297.14,4.6B,82M,OK
H3,POWL,192.96,7.0B,99M,OK
H3,HUBB,466.32,24.6B,213M,OK
H3,PRIM,74.42,4.0B,93M,OK
H3,MTZ,217.92,17.5B,359M,OK
H3,AZZ,138.86,4.2B,32M,OK
H3,IESC,319.66,12.7B,90M,OK
H3,AGX,376.64,5.3B,180M,OK
